iter	Passed	Remaining
0	15	15134
1	19	9751
2	24	8252
3	29	7260
4	33	6695
5	37	6217
6	42	6091
7	46	5825
8	50	5596
9	55	5452
10	59	5324
11	62	5151
12	66	5034
13	71	5005
14	75	4979
15	81	4988
16	93	5422
17	99	5436
18	106	5490
19	111	5468
20	115	5379
21	119	5308
22	123	5234
23	128	5225
24	131	5147
25	136	5096
26	140	5054
27	144	5001
28	147	4944
29	151	4901
30	156	4880
31	159	4838
32	163	4802
33	168	4777
34	173	4794
35	179	4813
36	183	4769
37	188	4763
38	192	4739
39	196	4706
40	200	4679
41	204	4663
42	208	4640
43	212	4606
44	216	4586
45	220	4575
46	224	4550
47	227	4520
48	231	4494
49	235	4474
50	239	4465
51	244	4452
52	248	4437
53	252	4422
54	256	4405
55	259	4381
56	264	4367
57	268	4358
58	272	4345
59	277	4352
60	284	4380
61	289	4374
62	293	4367
63	297	4355
64	302	4352
65	307	4355
66	311	4341
67	316	4342
68	321	4339
69	325	4323
70	328	4304
71	333	4294
72	338	4292
73	345	4327
74	351	4335
75	356	4336
76	360	4319
77	365	4325
78	370	4320
79	374	4303
80	378	4290
81	382	4276
82	388	4287
83	392	4274
84	396	4271
85	401	4263
86	405	4257
87	409	4244
88	413	4237
89	418	4232
90	423	4228
91	427	4220
92	431	4206
93	436	4209
94	440	4197
95	445	4194
96	450	4194
97	454	4184
98	458	4169
99	462	4160
100	468	4171
101	477	4201
102	480	4187
103	486	4189
104	490	4182
105	494	4172
106	498	4163
107	503	4162
108	507	4151
109	511	4141
110	516	4140
111	521	4133
112	525	4128
113	530	4121
114	534	4116
115	538	4102
116	542	4094
117	546	4086
118	551	4084
119	555	4074
120	559	4065
121	563	4057
122	568	4054
123	573	4053
124	577	4042
125	584	4057
126	588	4047
127	592	4037
128	596	4030
129	601	4026
130	605	4018
131	609	4011
132	613	4001
133	618	3998
134	623	3992
135	626	3982
136	632	3982
137	641	4009
138	646	4004
139	651	4000
140	655	3995
141	661	3994
142	665	3988
143	670	3983
144	674	3974
145	678	3969
146	683	3965
147	687	3957
148	691	3950
149	696	3944
150	700	3939
151	704	3930
152	708	3923
153	713	3919
154	717	3911
155	721	3902
156	725	3894
157	730	3894
158	735	3889
159	739	3882
160	743	3876
161	748	3871
162	752	3862
163	755	3852
164	760	3846
165	768	3858
166	772	3852
167	776	3847
168	781	3840
169	784	3832
170	788	3823
171	794	3822
172	798	3818
173	814	3866
174	825	3890
175	830	3886
176	834	3879
177	837	3867
178	851	3905
179	859	3914
180	864	3910
181	868	3903
182	872	3894
183	876	3888
184	880	3879
185	884	3872
186	888	3863
187	892	3852
188	896	3845
189	900	3837
190	905	3835
191	911	3836
192	915	3829
193	919	3821
194	924	3815
195	928	3809
196	932	3801
197	936	3791
198	940	3783
199	943	3774
200	947	3766
201	951	3758
202	955	3750
203	959	3744
204	963	3737
205	967	3728
206	971	3720
207	975	3712
208	978	3704
209	982	3696
210	986	3688
211	989	3678
212	993	3671
213	997	3663
214	1001	3655
215	1005	3648
216	1010	3644
217	1014	3638
218	1018	3630
219	1022	3625
220	1027	3622
221	1031	3613
222	1035	3606
223	1038	3598
224	1042	3591
225	1046	3584
226	1050	3576
227	1053	3567
228	1058	3563
229	1062	3555
230	1065	3548
231	1069	3540
232	1073	3534
233	1079	3533
234	1083	3526
235	1087	3519
236	1091	3513
237	1095	3506
238	1098	3499
239	1102	3492
240	1108	3490
241	1113	3487
242	1117	3480
243	1121	3474
244	1125	3468
245	1129	3462
246	1134	3458
247	1138	3452
248	1143	3447
249	1146	3439
250	1149	3431
251	1153	3423
252	1157	3417
253	1161	3412
254	1165	3404
255	1170	3401
256	1174	3394
257	1178	3388
258	1182	3381
259	1185	3375
260	1189	3369
261	1193	3363
262	1198	3357
263	1201	3349
264	1205	3344
265	1209	3337
266	1213	3331
267	1217	3325
268	1220	3317
269	1224	3311
270	1228	3304
271	1232	3298
272	1236	3291
273	1241	3290
274	1245	3283
275	1248	3276
276	1253	3270
277	1256	3264
278	1260	3257
279	1264	3251
280	1268	3245
281	1272	3240
282	1276	3233
283	1280	3228
284	1284	3222
285	1289	3218
286	1292	3211
287	1296	3205
288	1301	3200
289	1305	3195
290	1309	3189
291	1312	3183
292	1316	3177
293	1320	3170
294	1324	3165
295	1328	3160
296	1332	3153
297	1336	3149
298	1340	3143
299	1344	3136
300	1348	3131
301	1351	3123
302	1355	3117
303	1358	3111
304	1362	3105
305	1366	3099
306	1370	3094
307	1374	3087
308	1377	3081
309	1382	3076
310	1385	3070
311	1390	3065
312	1394	3059
313	1397	3053
314	1402	3050
315	1406	3044
316	1410	3039
317	1414	3033
318	1421	3035
319	1425	3030
320	1430	3026
321	1434	3020
322	1438	3015
323	1442	3010
324	1446	3003
325	1449	2997
326	1453	2992
327	1458	2987
328	1462	2982
329	1466	2977
330	1470	2972
331	1474	2966
332	1477	2960
333	1481	2954
334	1485	2949
335	1489	2943
336	1492	2936
337	1496	2930
338	1500	2926
339	1504	2921
340	1508	2914
